Parameter,AverageFailures,MinFailures,MaxFailures
10,1.8458498023715415,1,14
11,1.6920289855072463,1,8
12,1.7638376383763839,1,8
13,1.8876404494382022,1,16
14,1.8581081081081081,1,15
15,1.6538461538461537,1,10
16,1.7,1,7
17,2.086350974930362,1,26
18,2.142523364485981,1,13
19,2.7698744769874475,1,22
20,2.7932489451476794,1,19
21,2.240343347639485,1,11
22,1.975609756097561,1,15
23,1.7866004962779156,1,10
24,1.7714285714285714,1,11
25,1.850785340314136,1,9
26,1.8324742268041236,1,10
27,1.9164619164619165,1,12
28,2.063231850117096,1,9
29,2.0046511627906978,1,11
30,1.9207920792079207,1,16
31,1.8936708860759495,1,26
32,1.9158415841584158,1,10
33,1.9583333333333333,1,10
34,1.9882903981264637,1,18
35,1.9805825242718447,1,14
36,1.8205128205128205,1,10
37,1.8949880668257757,1,13
38,1.9522673031026252,1,9
39,1.8431876606683804,1,8
40,1.9504950495049505,1,9
41,1.8642857142857143,1,10
42,1.880184331797235,1,11
43,1.9142156862745099,1,11
44,1.8203991130820398,1,10
45,1.8013392857142858,1,14
46,1.87,1,9
47,1.7601918465227817,1,11
48,1.9156908665105385,1,13
49,2.047846889952153,1,16
50,1.9397590361445782,1,18
51,1.9681697612732096,1,17
52,1.7308641975308643,1,10
53,1.7772151898734176,1,12
54,1.79,1,10
55,1.8980582524271845,1,10
56,1.854320987654321,1,11
57,1.8333333333333333,1,15
58,1.8959390862944163,1,23
59,1.816326530612245,1,10
60,1.8365122615803815,1,12
61,1.7624309392265194,1,8
62,1.728813559322034,1,8
63,1.8308605341246291,1,17
64,1.7154255319148937,1,12
65,1.7611940298507462,1,11
66,1.7514285714285713,1,10
67,1.7933130699088147,1,12
68,1.759493670886076,1,16
69,1.809375,1,13
70,1.7678018575851393,1,12
71,1.8064516129032258,1,10
72,1.7507692307692309,1,14
73,1.7098976109215016,1,9
74,1.7587412587412588,1,10
75,1.6405693950177935,1,12
76,1.8098859315589353,1,12
77,1.6263345195729537,1,11
78,1.8023715415019763,1,11
79,1.78544061302682,1,12
8,1.7647058823529411,1,8
80,1.7272727272727273,1,12
81,1.7191489361702128,1,9
82,1.6899563318777293,1,10
83,1.7798165137614679,1,12
84,1.7380952380952381,1,14
9,1.9156626506024097,1,10
